latitude, longitude, checkins, id
55.5525494773, 37.366605268, 3, 4fca08d8e4b09ca09f6db780
55.6165746007, 37.3687667149, 28, 4f72908ae4b0a4b289b0b5d3
55.6165746007, 37.3687667149, 1, 4fac324ae4b033cf3f1367a2
55.6048633065, 37.3351091686, 173, 4edc587a93ad464d2ad6f266
55.6052086072, 37.3346218458, 87, 4edf418af5b93f54c3e011c9
55.565941, 37.362337, 1, 4fc07c27e4b0152d44c7fc05
55.5640886758, 37.3341889696, 18, 4f395cbfe4b039c3c476e3c1
55.6040420532, 37.3348007202, 0, 4fd5a56ae4b04b44f54e7bd4
55.604802, 37.335132, 8, 4f7f5842e4b04cc2fc142b34
55.603369, 37.333553, 1, 4f4a9386e4b0b1e3520f26fb
55.602911, 37.330953, 19, 4f9d3c24e4b04dce459f50f4
