latitude, longitude, checkins, id, name
55.9235191345, 37.8848724365, 17, 4ecd7a1b2c5bc350539f4ee2, Potashev's Billiard House
55.942579, 37.86755, 1, 4fd84706e4b073285b8ebcbd, Рэй-спорт
55.944441, 37.868848, 4, 4d833390f9f3a1cdd0089b64, Центальная Больница г.Королев
55.9187791985, 37.869496224, 80, 4f26c30de4b0085e4c411872, anet's house
55.94125385, 37.8665588296, 2, 4f60a872e4b039028f706228, шаурма майка
55.9403618733, 37.8651024306, 3, 4fa96eb0e4b047ccd1a847e5, RuRs Garage
55.9430160522, 37.8659973145, 1, 4f5b653ae4b0b28dd3d249e9, у Колюнии
55.937677, 37.885073, 36, 4f9862b8e4b07d0a53fa9bd9, Гошина Беседка
55.9304248055, 37.8575265368, 489, 4f635059e4b09987d03a2f68, Платформа Болшево, Фрязинское направление
55.951573543, 37.8319903017, 0, 4ed7c3866c25acaabb1afc01, Duffy Lodging
55.9586157704, 37.8315286444, 5, 4f9cfb8fe4b0d2a3a9c067b0, Arisha's Dacha
55.948097, 37.845223, 5, 4fb7f1a8e4b052e5837f6dea, Клязьма
55.946344, 37.85009, 1, 4f91aa34e4b076d2c9aa4d98, Ебеня
55.9467048645, 37.8499259949, 0, 4f643c9ae4b09fcf62225047, дома
55.9527327134, 37.8478551355, 2, 4f75a26ce4b07eec205895f6, Sveta's home
55.9365077369, 37.8581592605, 1, 4f9b959ce4b04dd734e6d9a0, Ручная Мойка
55.9527327134, 37.8478551355, 82, 4e7ce0f7d3e324c51788a67f, Mixy's House
55.9505500793, 37.836227417, 1, 4f8d3233e4b0b2abb3f6495f, Влад Моторс Инн
55.9515492821, 37.8375773422, 14, 4ef723875c5c68fa0b2ee582, Старый Друг
55.9527327134, 37.8478551355, 1, 4fb69595e4b03f88368369d0, Merman's House2
55.9246632785, 37.8531873872, 50, 4f1d03e4e4b0bf762adab5d4, iGunch House
55.9232233568, 37.837645238, 197, 4ee224e90e01e3535050df22, Курилка =))
55.9281280147, 37.8454656939, 19, 4f1e88f3e4b07fde7e9a3286, Зоомагазин Живая Планета
55.9426907798, 37.8443856869, 5, 4eac75fe02d5cf33fa082d98, Sweet Home
55.9396972656, 37.8484687805, 0, 4fbbfc10e4b0f3afcd0587db, Elena's apartment
55.9246632785, 37.8531873872, 17, 4f7ad4a3e4b0f90957c89137, Храм Уединённого Размышления
55.942796, 37.848058, 3, 4f462e72e4b0ab39f543e016, Автосервис-мойка-шиномонтаж
55.940837, 37.849898, 3, 4e8d9a134690501c9d7f256e, Киностудия Министерства Обороны РФ
55.9427593841, 37.8491020203, 0, 4fb4f7a0e5e8818187acea65, Двери Армада
55.9246632785, 37.8531873872, 42, 4e6c96bb483b1f5ebe225273, ул. М. Комитетская
55.9285931179, 37.8511147356, 7, 4f7af78de4b07999dcb86451, Тёплая Ванна
55.926984942, 37.8500681609, 141, 4eaaf927775bf08569c8c4e8, Чешский Бровар
55.9360865691, 37.8432564896, 417, 4dfe096d227185f38b9a2094, Парк в 3-ем городке!
55.9246632785, 37.8531873872, 0, 4f02bc17b6346feaef7fcf36, chez wam
55.92755, 37.84912, 1, 4f706672e4b01d94ff4523e4, Баня
55.9246632785, 37.8531873872, 10, 4f8499ade4b0c11813938e0d, The Orange Room
55.944886, 37.850809, 5, 4f85788ae4b09c6e15f4d9ed, Авто мойка
55.9268278278, 37.8499508869, 19, 4eb01c34be7b409f8c1dc15a, Browar
55.9246632785, 37.8531873872, 9, 4f7cb4fce4b02c0a5a229763, Постелька
55.9364245478, 37.8205560354, 31, 4f9d59ffe4b0e1cbffc6c21e, My home
55.9386967968, 37.8505223725, 130, 4f284482e4b0d3edd5fd9bd0, Vet's Home
55.92695, 37.850035, 2, 4f63a1e8e4b08383b0d67c8b, Пражечка
55.9376675258, 37.8344570789, 9, 4fc9198ce4b08f57b75ada94, Спорт Бар
55.9223921546, 37.8232319113, 199, 4eafcd469adff29daefd0ec1, Home. Sweet home =))
55.944063, 37.852258, 1, 4f7d69e5e4b0125b48ae0b71, Шашлычная
55.9386967968, 37.8505223725, 0, 4f02bbd9a69d4546204b16a1, Дом
55.937554, 37.8354, 12, 4f9133ffe4b0a11ed0dd088a, остановка у удачки
55.9375521411, 37.8344938901, 10, 4f61edb3e4b0a20e1e339c83, ГДО
55.9375676081, 37.8344686806, 3, 4fd63c9ee4b09c51ff740713, СпортБар Overtime
55.9374103187, 37.8326342005, 8, 4f9a8e0ae4b04b5a6713cc25, ДК г. Юбилейного
55.9370526305, 37.8279625603, 113, 4e37747222713b80b9fcfe9b, ГИБДД г.Королёв
55.9223921546, 37.8232319113, 24, 4f57bcc6e4b024734948df88, Лаборатория когнитолога
55.9376068115, 37.8333129883, 7, 4f8c2775e4b00597a0c24cab, Тренировочка
55.937607, 37.834409, 3, 4f35f81ae4b02a70dfb41065, Kristina's Salone
55.937585, 37.833381, 2, 4fae731fe4b0b84e1cab228e, ГДО детские горки
55.9228906119, 37.8358197212, 192, 4e9d704ae5e8251a9f079ad8, ФизКульт в Королеве
55.937653, 37.83423, 1, 4f51a34ee4b09f74b6bf6045, Ногти
55.943548, 37.854958, 5, 4fabc2bce4b0c839881da6b4, Винни-пух
55.938032, 37.833678, 2, 4f535654e4b0c416055dab04, Дом Культуры г. Юбилейный
55.9261967706, 37.861161232, 2182, 4c28f654ce3fc9289d016e88, Ж/Д станция Болшево
55.9304248055, 37.8575265368, 489, 4f635059e4b09987d03a2f68, Платформа Болшево, Фрязинское направление
55.9464843956, 37.8612041473, 288, 4e5f6f4518a870f60f3919de, Платформа Фабрика 1 Мая
55.946344, 37.85009, 1, 4f91aa34e4b076d2c9aa4d98, Ебеня
55.9467048645, 37.8499259949, 0, 4f643c9ae4b09fcf62225047, дома
55.9262405958, 37.8562764034, 1437, 4e323d87483bf02b1f87ed25, платформа "Спутник" Болшево
55.9455743994, 37.8552878505, 32, 4fa23128e4b05d82242538fa, Микрорайон Первомайский
55.9365077369, 37.8581592605, 1, 4f9b959ce4b04dd734e6d9a0, Ручная Мойка
55.9468473564, 37.8641770594, 63, 4f53270ae4b0195da4a22ce1, Dimsorokin's house
55.9539498041, 37.8613321062, 9, 4fb537dae4b09395052154b2, Тренажёрный зал "КачОК"
55.9468473564, 37.8641770594, 17, 4fb3e33be4b0886e0038e7e5, Дом
55.948097, 37.845223, 5, 4fb7f1a8e4b052e5837f6dea, Клязьма
55.9446981643, 37.8543184857, 7, 4fb68345e4b03f88367aede8, Jora's Fitness
55.9459368223, 37.862798248, 112, 4f74a6e4e4b0f06c04ba73a1, Billy's home
55.9457287184, 37.8585950487, 14, 4f1beaaae4b03543a1cc1eae, Андрей
55.9468473564, 37.8641770594, 12, 4f594f7ee4b0519c536af36e, Первомайский
55.9527327134, 37.8478551355, 1, 4ea57ff19adff6343aee4f84, Fazenda
55.9307545571, 37.8498303188, 179, 4ea1e4b029c2abc8de8e1c71, Парковка у Атолла
55.94487, 37.854223, 0, 4eeee49f722ea77619555603, Гостиница "Парус"
55.931828, 37.851097, 169, 4defb72e7d8bb02cbf01231e, Roadster's Palace
55.945734, 37.868534, 34, 4f4f8008e4b05017c920990c, Первомайский Район
55.9246632785, 37.8531873872, 21, 4f5d1ca7e4b02628c29bcaa1, Barbie home)
55.931486, 37.850094, 48, 4fa54d93e4b0f902074d0133, MF Хата Б
55.9468473564, 37.8641770594, 1, 4f8923cae4b002b90af8b4dd, у папки на первомайке
55.9246632785, 37.8531873872, 18, 4f222401e4b08318743c0a06, vault of kp0t
55.9527327134, 37.8478551355, 3, 4f8f2249e4b0ba2135e0808e, Кроватка  Собственность Гайдаша.)
55.9328120778, 37.8668377499, 263, 4e478feab61c03d0cd1b7030, Гражданская, 16
55.9246632785, 37.8531873872, 4, 4f9acdd2e4b0027bd3a6ebcc, Sveta's house
55.9320207678, 37.8679002821, 31, 4fa6bb78e4b04e768452c4a7, Дом Элиночки
55.9328120778, 37.8668377499, 49, 4f885b61e4b0c71a70bd9352, Fifth Floor Loft
55.9428705516, 37.8666391982, 32, 4f61f54be4b07f728fddeb68, Первомайка
55.9240635435, 37.8529777886, 9, 4f2ec079e4b0ccb9142c860e, У kpotика дома
55.9465972361, 37.8687170768, 46, 4e78bc131f6ecf8d36afd04e, Молодежный Центр
55.9455528259, 37.8683624268, 1, 4f4921a2e4b03377e7dee2b0, круглосутка-палатка
55.922016713, 37.864053538, 2, 4f5b02c6e4b0a61f4aba88d0, ОАО НБ "Траст" (trust bank)
